Key	Song Title	BPM	Artist	Genre	Decade	Ultimate Guitar Link	Lyrics Link	
F#	Hold The Line	112	Toto	Rock	1970s	https://tabs.ultimate-guitar.com/tab/toto/hold-the-line-chords	https://genius.com/Toto-hold-the-line-lyrics	
E	Hold On I'm Coming	127	Sam & Dave	Soul	1960s	https://tabs.ultimate-guitar.com/tab/sam-dave/hold-on-im-coming-chords	https://genius.com/Sam-dave-hold-on-im-coming-lyrics	
C	Home Sweet Home	88	M??tley Cr??e	Rock Ballad	1980s	https://tabs.ultimate-guitar.com/tab/mtley-cre/home-sweet-home-chords	https://genius.com/Mtley-cre-home-sweet-home-lyrics	
G	Honky Tonk Women	110	The Rolling Stones	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-rolling-stones/honky-tonk-women-chords	https://genius.com/The-rolling-stones-honky-tonk-women-lyrics	
C	Hot In Here	96	Nelly	Hip Hop	2000s	https://tabs.ultimate-guitar.com/tab/nelly/hot-in-here-chords	https://genius.com/Nelly-hot-in-here-lyrics	
G	Hot Blooded	120	Foreigner	Rock	1970s	https://tabs.ultimate-guitar.com/tab/foreigner/hot-blooded-chords	https://genius.com/Foreigner-hot-blooded-lyrics	
Bm	Hotel California	74	Eagles	Rock	1970s	https://tabs.ultimate-guitar.com/tab/eagles/hotel-california-chords	https://genius.com/Eagles-hotel-california-lyrics	
C	Hound Dog	172	Elvis Presley	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/elvis-presley/hound-dog-chords	https://genius.com/Elvis-presley-hound-dog-lyrics	
A	Hurt So Good	138	John Mellencamp	Rock	1980s	https://tabs.ultimate-guitar.com/tab/john-mellencamp/hurt-so-good-chords	https://genius.com/John-mellencamp-hurt-so-good-lyrics	
D	I Can't Help Falling In Love	108	Elvis Presley	Pop Ballad	1960s	https://tabs.ultimate-guitar.com/tab/elvis-presley/i-cant-help-falling-in-love-chords	https://genius.com/Elvis-presley-i-cant-help-falling-in-love-lyrics	
Eb	I Can't Make You Love Me	68	Bonnie Raitt	Blues/Soul	1990s	https://tabs.ultimate-guitar.com/tab/bonnie-raitt/i-cant-make-you-love-me-chords	https://genius.com/Bonnie-raitt-i-cant-make-you-love-me-lyrics	
F	I Can't Stop Loving You	70	Ray Charles	Country/Soul	1960s	https://tabs.ultimate-guitar.com/tab/ray-charles/i-cant-stop-loving-you-chords	https://genius.com/Ray-charles-i-cant-stop-loving-you-lyrics	
F#	I Don't Care	102	Ed Sheeran ft. Justin Bieber	Pop	2010s	https://tabs.ultimate-guitar.com/tab/ed-sheeran-ft-justin-bieber/i-dont-care-chords	https://genius.com/Ed-sheeran-ft-justin-bieber-i-dont-care-lyrics	
C	I Feel Good	145	James Brown	Funk/Soul	1960s	https://tabs.ultimate-guitar.com/tab/james-brown/i-feel-good-chords	https://genius.com/James-brown-i-feel-good-lyrics	
G?	I Gotta Feeling	128	Black Eyed Peas	Dance Pop	2000s	https://tabs.ultimate-guitar.com/tab/black-eyed-peas/i-gotta-feeling-chords	https://genius.com/Black-eyed-peas-i-gotta-feeling-lyrics	
E?	I Love Rock N Roll	94	Joan Jett & the Blackhearts	Rock	1980s	https://tabs.ultimate-guitar.com/tab/joan-jett-the-blackhearts/i-love-rock-n-roll-chords	https://genius.com/Joan-jett-the-blackhearts-i-love-rock-n-roll-lyrics	
D	I Love This Bar	96	Toby Keith	Country	2000s		https://tabs.ultimate-guitar.com/tab/toby-keith/i-love-this-bar-chords	https://genius.com/Toby-keith-i-love-this-bar-lyrics
G	I Love Your Ways	75	Peter Frampton	Rock	1970s	https://tabs.ultimate-guitar.com/tab/peter-frampton/i-love-your-ways-chords	https://genius.com/Peter-frampton-i-love-your-ways-lyrics	
D?	I Lie When I Drink	108	Cody Jinks	Country	2010s	https://tabs.ultimate-guitar.com/tab/cody-jinks/i-lie-when-i-drink-chords	https://genius.com/Cody-jinks-i-lie-when-i-drink-lyrics	
G	I'm A Believer	168	The Monkees	Pop Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-monkees/im-a-believer-chords	https://genius.com/The-monkees-im-a-believer-lyrics	
G	I'm Gonna Be (500 Miles)	131	The Proclaimers	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/the-proclaimers/im-gonna-be-500-miles-chords	https://genius.com/The-proclaimers-im-gonna-be-500-miles-lyrics	
E	I'm On Fire	138	Bruce Springsteen	Rock	1980s	https://tabs.ultimate-guitar.com/tab/bruce-springsteen/im-on-fire-chords	https://genius.com/Bruce-springsteen-im-on-fire-lyrics	
Dm	I'm Way Too Good at Goodbye	108	Sam Smith	Pop	2010s	https://tabs.ultimate-guitar.com/tab/sam-smith/im-way-too-good-at-goodbye-chords	https://genius.com/Sam-smith-im-way-too-good-at-goodbye-lyrics	
A	I'm Yours	76	Jason Mraz	Pop/Reggae	2000s	https://tabs.ultimate-guitar.com/tab/jason-mraz/im-yours-chords	https://genius.com/Jason-mraz-im-yours-lyrics	
Dm	Innagadadavida	160	Iron Butterfly	Psychedelic Rock	1960s	https://tabs.ultimate-guitar.com/tab/iron-butterfly/innagadadavida-chords	https://genius.com/Iron-butterfly-innagadadavida-lyrics	
E	I Saw Her Standing There	157	The Beatles	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-beatles/i-saw-her-standing-there-chords	https://genius.com/The-beatles-i-saw-her-standing-there-lyrics	
A?	Ice Ice Baby	115	Vanilla Ice	Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/vanilla-ice/ice-ice-baby-chords	https://genius.com/Vanilla-ice-ice-ice-baby-lyrics	
C	If You Want To Get to Heaven	128	Ozark Mountain Daredevils	Country Rock	1970s	https://tabs.ultimate-guitar.com/tab/ozark-mountain-daredevils/if-you-want-to-get-to-heaven-chords	https://genius.com/Ozark-mountain-daredevils-if-you-want-to-get-to-heaven-lyrics	
D	ImYourCaptain	100	Grand Funk Railroad	Rock	1970s	https://tabs.ultimate-guitar.com/tab/grand-funk-railroad/imyourcaptain-chords	https://genius.com/Grand-funk-railroad-imyourcaptain-lyrics	
Dm	In The Air Tonight	90	Phil Collins	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/phil-collins/in-the-air-tonight-chords	https://genius.com/Phil-collins-in-the-air-tonight-lyrics	
	In Da Club	90	50 Cent	Hip Hop	2000s	https://tabs.ultimate-guitar.com/tab/50-cent/in-da-club-chords	https://genius.com/50-cent-in-da-club-lyrics	
Em?	In The End	105	Linkin Park	Nu Metal	2000s	https://tabs.ultimate-guitar.com/tab/linkin-park/in-the-end-chords	https://genius.com/Linkin-park-in-the-end-lyrics	
Em	I'd Love To Change The World	124	Ten Years After	Rock	1970s	https://tabs.ultimate-guitar.com/tab/ten-years-after/id-love-to-change-the-world-chords	https://genius.com/Ten-years-after-id-love-to-change-the-world-lyrics	
C	In The Still Of The Night	54	The Five Satins	Doo-wop	1950s	https://tabs.ultimate-guitar.com/tab/the-five-satins/in-the-still-of-the-night-chords	https://genius.com/The-five-satins-in-the-still-of-the-night-lyrics	
A?	Jack & Diane	120	John Mellencamp	Rock	1980s	https://tabs.ultimate-guitar.com/tab/john-mellencamp/jack-diane-chords	https://genius.com/John-mellencamp-jack-diane-lyrics	
D	Jailhouse Rock	168	Elvis Presley	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/elvis-presley/jailhouse-rock-chords	https://genius.com/Elvis-presley-jailhouse-rock-lyrics	
D	Jessie's Girl	132	Rick Springfield	Pop Rock	1980s	https://tabs.ultimate-guitar.com/tab/rick-springfield/jessies-girl-chords	https://genius.com/Rick-springfield-jessies-girl-lyrics	
G	Jesus Just Left Chicago	120	ZZ Top	Blues Rock	1970s	https://tabs.ultimate-guitar.com/tab/zz-top/jesus-just-left-chicago-chords	https://genius.com/Zz-top-jesus-just-left-chicago-lyrics	
Bb?	Johnny B Goode	170	Chuck Berry	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/chuck-berry/johnny-b-goode-chords	https://genius.com/Chuck-berry-johnny-b-goode-lyrics	
Em	Jose	115	Garth Brooks	Country	1990s	https://tabs.ultimate-guitar.com/tab/garth-brooks/jose-chords	https://genius.com/Garth-brooks-jose-lyrics	
D?	Joy To The World	108	Three Dog Night	Rock	1970s	https://tabs.ultimate-guitar.com/tab/three-dog-night/joy-to-the-world-chords	https://genius.com/Three-dog-night-joy-to-the-world-lyrics	
C	Jump	140	Van Halen	Rock	1980s	https://tabs.ultimate-guitar.com/tab/van-halen/jump-chords	https://genius.com/Van-halen-jump-lyrics	
B	Jumping Jack Flash	137	The Rolling Stones	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-rolling-stones/jumping-jack-flash-chords	https://genius.com/The-rolling-stones-jumping-jack-flash-lyrics	
E	Just What I Needed	129	The Cars	New Wave	1970s	https://tabs.ultimate-guitar.com/tab/the-cars/just-what-i-needed-chords	https://genius.com/The-cars-just-what-i-needed-lyrics	
B	Keep On Rocking Me Baby	118	Steve Miller Band	Rock	1970s	https://tabs.ultimate-guitar.com/tab/steve-miller-band/keep-on-rocking-me-baby-chords	https://genius.com/Steve-miller-band-keep-on-rocking-me-baby-lyrics	
Em?	Killing Me Softly	92	Roberta Flack	Soul/Pop	1970s	https://tabs.ultimate-guitar.com/tab/roberta-flack/killing-me-softly-chords	https://genius.com/Roberta-flack-killing-me-softly-lyrics	
E	Kiss	120	Prince	Pop/Funk	1980s	https://tabs.ultimate-guitar.com/tab/prince/kiss-chords	https://genius.com/Prince-kiss-lyrics	
E	Knock On Wood	118	Eddie Floyd	Soul	1960s	https://tabs.ultimate-guitar.com/tab/eddie-floyd/knock-on-wood-chords	https://genius.com/Eddie-floyd-knock-on-wood-lyrics	
C	La Bamba	157	Ritchie Valens	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/ritchie-valens/la-bamba-chords	https://genius.com/Ritchie-valens-la-bamba-lyrics	
A	La Grange	162	ZZ Top	Blues Rock	1970s	https://tabs.ultimate-guitar.com/tab/zz-top/la-grange-chords	https://genius.com/Zz-top-la-grange-lyrics	
C	Lady Is A Tramp	158	Frank Sinatra	Jazz Standard	1930s	https://tabs.ultimate-guitar.com/tab/frank-sinatra/lady-is-a-tramp-chords	https://genius.com/Frank-sinatra-lady-is-a-tramp-lyrics	
Am	Last Dance With Mary Jane	85	Tom Petty	Rock	1990s	https://tabs.ultimate-guitar.com/tab/tom-petty/last-dance-with-mary-jane-chords	https://genius.com/Tom-petty-last-dance-with-mary-jane-lyrics	
Dm	Layla	118	Derek and the Dominos	Rock/Blues	1970s	https://tabs.ultimate-guitar.com/tab/derek-and-the-dominos/layla-chords	https://genius.com/Derek-and-the-dominos-layla-lyrics	
C	Lean On Me	100	Bill Withers	Soul	1970s	https://tabs.ultimate-guitar.com/tab/bill-withers/lean-on-me-chords	https://genius.com/Bill-withers-lean-on-me-lyrics	
A	Leap Of Faith	120	Kenny Loggins	Pop Rock	1990s	https://tabs.ultimate-guitar.com/tab/kenny-loggins/leap-of-faith-chords	https://genius.com/Kenny-loggins-leap-of-faith-lyrics	
G	Leroy Brown	120	Jim Croce	Pop/Folk	1970s	https://tabs.ultimate-guitar.com/tab/jim-croce/leroy-brown-chords	https://genius.com/Jim-croce-leroy-brown-lyrics	
D	Let's Get On	80	Marvin Gaye	Soul	1970s	https://tabs.ultimate-guitar.com/tab/marvin-gaye/lets-get-on-chords	https://genius.com/Marvin-gaye-lets-get-on-lyrics	
Am	Light My Fire	128	The Doors	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-doors/light-my-fire-chords	https://genius.com/The-doors-light-my-fire-lyrics	
D	Lights	122	Journey	Rock	1970s	https://tabs.ultimate-guitar.com/tab/journey/lights-chords	https://genius.com/Journey-lights-lyrics	
A	Little By Little	124	Robert Plant	Rock	1980s	https://tabs.ultimate-guitar.com/tab/robert-plant/little-by-little-chords	https://genius.com/Robert-plant-little-by-little-lyrics	
Em	Little Red Riding Hood	132	Sam the Sham & the Pharaohs	Rock	1960s	https://tabs.ultimate-guitar.com/tab/sam-the-sham-the-pharaohs/little-red-riding-hood-chords	https://genius.com/Sam-the-sham-the-pharaohs-little-red-riding-hood-lyrics	
Em	Livin On A Prayer	123	Bon Jovi	Rock	1980s	https://tabs.ultimate-guitar.com/tab/bon-jovi/livin-on-a-prayer-chords	https://genius.com/Bon-jovi-livin-on-a-prayer-lyrics	
E	Locomotive Breath	132	Jethro Tull	Progressive Rock	1970s	https://tabs.ultimate-guitar.com/tab/jethro-tull/locomotive-breath-chords	https://genius.com/Jethro-tull-locomotive-breath-lyrics	
Gm	Long Train Running	120	The Doobie Brothers	Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-doobie-brothers/long-train-running-chords	https://genius.com/The-doobie-brothers-long-train-running-lyrics	
B	Louie Louie	124	The Kingsmen	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-kingsmen/louie-louie-chords	https://genius.com/The-kingsmen-louie-louie-lyrics	
Bb	Love Shack	170	The B-52's	New Wave	1980s	https://tabs.ultimate-guitar.com/tab/the-b-52s/love-shack-chords	https://genius.com/The-b-52s-love-shack-lyrics	
D?	Love Story	119	Taylor Swift	Country Pop	2000s	https://tabs.ultimate-guitar.com/tab/taylor-swift/love-story-chords	https://genius.com/Taylor-swift-love-story-lyrics	
A	Love Is My Religion	160	Ziggy Marley	Reggae	2000s	https://tabs.ultimate-guitar.com/tab/ziggy-marley/love-is-my-religion-chords	https://genius.com/Ziggy-marley-love-is-my-religion-lyrics	
D	Love Is What I Got	84	Sublime	Ska/Punk	1990s	https://tabs.ultimate-guitar.com/tab/sublime/love-is-what-i-got-chords	https://genius.com/Sublime-love-is-what-i-got-lyrics	
G	Low Rider	98	War	Funk/Soul	1970s	https://tabs.ultimate-guitar.com/tab/war/low-rider-chords	https://genius.com/War-low-rider-lyrics	
G	Lying Eyes	106	Eagles	Country Rock	1970s	https://tabs.ultimate-guitar.com/tab/eagles/lying-eyes-chords	https://genius.com/Eagles-lying-eyes-lyrics	
Bb	Mack The Knife	184	Bobby Darin	Jazz	1950s	https://tabs.ultimate-guitar.com/tab/bobby-darin/mack-the-knife-chords	https://genius.com/Bobby-darin-mack-the-knife-lyrics	
G?	Man I Feel Like A Woman	130	Shania Twain	Country Pop	1990s	https://tabs.ultimate-guitar.com/tab/shania-twain/man-i-feel-like-a-woman-chords	https://genius.com/Shania-twain-man-i-feel-like-a-woman-lyrics	
D	Margaritaville	98	Jimmy Buffett	Country Rock/Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/jimmy-buffett/margaritaville-chords	https://genius.com/Jimmy-buffett-margaritaville-lyrics	
Fm	Masquerade	138	George Benson	Jazz/Soul	1970s	https://tabs.ultimate-guitar.com/tab/george-benson/masquerade-chords	https://genius.com/George-benson-masquerade-lyrics	
E	Melissa	118	The Allman Brothers Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/melissa-chords	https://genius.com/The-allman-brothers-band-melissa-lyrics	
G	Memories	92	Maroon 5	Pop	2010s	https://tabs.ultimate-guitar.com/tab/maroon-5/memories-chords	https://genius.com/Maroon-5-memories-lyrics	
E	Mercy	150	Duffy	Soul/Pop	2000s	https://tabs.ultimate-guitar.com/tab/duffy/mercy-chords	https://genius.com/Duffy-mercy-lyrics	
C#	Message in a Bottle	150	The Police	Rock/New Wave	1970s	https://tabs.ultimate-guitar.com/tab/the-police/message-in-a-bottle-chords	https://genius.com/The-police-message-in-a-bottle-lyrics	
C	Midnight Hour	112	Wilson Pickett	Soul	1960s	https://tabs.ultimate-guitar.com/tab/wilson-pickett/midnight-hour-chords	https://genius.com/Wilson-pickett-midnight-hour-lyrics	
Dm	Midnight Rider	140	The Allman Brothers Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/midnight-rider-chords	https://genius.com/The-allman-brothers-band-midnight-rider-lyrics	
Gm	Money	122	Pink Floyd	Progressive Rock	1970s	https://tabs.ultimate-guitar.com/tab/pink-floyd/money-chords	https://genius.com/Pink-floyd-money-lyrics	
Bm	Money	127	Pink Floyd	Progressive Rock	1970s	https://tabs.ultimate-guitar.com/tab/pink-floyd/money-chords	https://genius.com/Pink-floyd-money-lyrics	
Am	Moondance	138	Van Morrison	Jazz/Soul	1970s	https://tabs.ultimate-guitar.com/tab/van-morrison/moondance-chords	https://genius.com/Van-morrison-moondance-lyrics	
C	Mr Brightside	148	The Killers	Rock	2000s	https://tabs.ultimate-guitar.com/tab/the-killers/mr-brightside-chords	https://genius.com/The-killers-mr-brightside-lyrics	
C	Mustang Sally	114	Wilson Pickett	Soul	1960s	https://tabs.ultimate-guitar.com/tab/wilson-pickett/mustang-sally-chords	https://genius.com/Wilson-pickett-mustang-sally-lyrics	
C	My Girl	100	The Temptations	Motown/Soul	1960s	https://tabs.ultimate-guitar.com/tab/the-temptations/my-girl-chords	https://genius.com/The-temptations-my-girl-lyrics	
D	My Way	75	Frank Sinatra	Pop Standard	1960s	https://tabs.ultimate-guitar.com/tab/frank-sinatra/my-way-chords	https://genius.com/Frank-sinatra-my-way-lyrics	
D	New York New York	126	Frank Sinatra	Jazz/Pop	1970s	https://tabs.ultimate-guitar.com/tab/frank-sinatra/new-york-new-york-chords	https://genius.com/Frank-sinatra-new-york-new-york-lyrics	
E	No Diggity	88	Blackstreet ft. Dr. Dre	R&B/Hip Hop	1990s	https://tabs.ultimate-guitar.com/tab/blackstreet-ft-dr-dre/no-diggity-chords	https://genius.com/Blackstreet-ft-dr-dre-no-diggity-lyrics	
Db	No More Tears	74	Ozzy Osbourne	Heavy Metal	1990s	https://tabs.ultimate-guitar.com/tab/ozzy-osbourne/no-more-tears-chords	https://genius.com/Ozzy-osbourne-no-more-tears-lyrics	
C	No Woman No Cry	76	Bob Marley	Reggae	1970s	https://tabs.ultimate-guitar.com/tab/bob-marley/no-woman-no-cry-chords	https://genius.com/Bob-marley-no-woman-no-cry-lyrics	
G	Oh Boy	152	Buddy Holly	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/buddy-holly/oh-boy-chords	https://genius.com/Buddy-holly-oh-boy-lyrics	
C	Old Time Rock And Roll	118	Bob Seger	Rock	1970s	https://tabs.ultimate-guitar.com/tab/bob-seger/old-time-rock-and-roll-chords	https://genius.com/Bob-seger-old-time-rock-and-roll-lyrics	
A	One Way Out	120	The Allman Brothers Band	Blues Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/one-way-out-chords	https://genius.com/The-allman-brothers-band-one-way-out-lyrics	
Cm?	Oops I Did It Again	95	Britney Spears	Pop	2000s	https://tabs.ultimate-guitar.com/tab/britney-spears/oops-i-did-it-again-chords	https://genius.com/Britney-spears-oops-i-did-it-again-lyrics	
D	Open Arms	100	Journey	Rock Ballad	1980s	https://tabs.ultimate-guitar.com/tab/journey/open-arms-chords	https://genius.com/Journey-open-arms-lyrics	
F?	Party In The USA	130	Miley Cyrus	Pop	2000s	https://tabs.ultimate-guitar.com/tab/miley-cyrus/party-in-the-usa-chords	https://genius.com/Miley-cyrus-party-in-the-usa-lyrics	
G	Perfect	63	Ed Sheeran	Pop Ballad	2010s	https://tabs.ultimate-guitar.com/tab/ed-sheeran/perfect-chords	https://genius.com/Ed-sheeran-perfect-lyrics	
C?	Piano Man	180	Billy Joel	Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/billy-joel/piano-man-chords	https://genius.com/Billy-joel-piano-man-lyrics	
B	Pinball Wizard	132	The Who	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-who/pinball-wizard-chords	https://genius.com/The-who-pinball-wizard-lyrics	
E	Play That Funky Music	110	Wild Cherry	Funk/Disco	1970s	https://tabs.ultimate-guitar.com/tab/wild-cherry/play-that-funky-music-chords	https://genius.com/Wild-cherry-play-that-funky-music-lyrics	
Cm?	Pony	107	Ginuwine	R&B	1990s	https://tabs.ultimate-guitar.com/tab/ginuwine/pony-chords	https://genius.com/Ginuwine-pony-lyrics	
E?	Pour Some Sugar On Me	103	Def Leppard	Rock	1980s	https://tabs.ultimate-guitar.com/tab/def-leppard/pour-some-sugar-on-me-chords	https://genius.com/Def-leppard-pour-some-sugar-on-me-lyrics	
E	Pretty Woman	138	Roy Orbison	Rock and Roll	1960s	https://tabs.ultimate-guitar.com/tab/roy-orbison/pretty-woman-chords	https://genius.com/Roy-orbison-pretty-woman-lyrics	
E	Pride And Joy	152	Stevie Ray Vaughan	Blues	1980s	https://tabs.ultimate-guitar.com/tab/stevie-ray-vaughan/pride-and-joy-chords	https://genius.com/Stevie-ray-vaughan-pride-and-joy-lyrics	
D	Proud Mary	128	Creedence Clearwater Revival	Rock	1960s	https://tabs.ultimate-guitar.com/tab/creedence-clearwater-revival/proud-mary-chords	https://genius.com/Creedence-clearwater-revival-proud-mary-lyrics	
Bb	Purple Rain	112	Prince	Rock/Pop	1980s	https://tabs.ultimate-guitar.com/tab/prince/purple-rain-chords	https://genius.com/Prince-purple-rain-lyrics	
B	Rebel Yell	158	Billy Idol	Rock	1980s	https://tabs.ultimate-guitar.com/tab/billy-idol/rebel-yell-chords	https://genius.com/Billy-idol-rebel-yell-lyrics	
C?	Respect	115	Aretha Franklin	Soul	1960s	https://tabs.ultimate-guitar.com/tab/aretha-franklin/respect-chords	https://genius.com/Aretha-franklin-respect-lyrics	
G	Reminiscing	96	Little River Band	Soft Rock	1970s	https://tabs.ultimate-guitar.com/tab/little-river-band/reminiscing-chords	https://genius.com/Little-river-band-reminiscing-lyrics	
E	Ring Of Fire	105	Johnny Cash	Country	1960s	https://tabs.ultimate-guitar.com/tab/johnny-cash/ring-of-fire-chords	https://genius.com/Johnny-cash-ring-of-fire-lyrics	
A	Rock Around The Clock	184	Bill Haley & His Comets	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/bill-haley-his-comets/rock-around-the-clock-chords	https://genius.com/Bill-haley-his-comets-rock-around-the-clock-lyrics	
A?	Rock & Roll All Night	145	Kiss	Rock	1970s	https://tabs.ultimate-guitar.com/tab/kiss/rock-roll-all-night-chords	https://genius.com/Kiss-rock-roll-all-night-lyrics	
Gm	Rocket Man	106	Elton John	Pop Rock	1970s	https://tabs.ultimate-guitar.com/tab/elton-john/rocket-man-chords	https://genius.com/Elton-john-rocket-man-lyrics	
E	Rocky Mountain Way	84	Joe Walsh	Rock	1970s	https://tabs.ultimate-guitar.com/tab/joe-walsh/rocky-mountain-way-chords	https://genius.com/Joe-walsh-rocky-mountain-way-lyrics	
G	Runaround Sue	164	Dion	Rock and Roll	1960s	https://tabs.ultimate-guitar.com/tab/dion/runaround-sue-chords	https://genius.com/Dion-runaround-sue-lyrics	
Am	Runaway	96	Bon Jovi	Rock	1980s	https://tabs.ultimate-guitar.com/tab/bon-jovi/runaway-chords	https://genius.com/Bon-jovi-runaway-lyrics	
Dm	Santeria	88	Sublime	Ska/Punk	1990s	https://tabs.ultimate-guitar.com/tab/sublime/santeria-chords	https://genius.com/Sublime-santeria-lyrics	
E	Sara Smile	120	Hall & Oates	Soul/Pop	1970s	https://tabs.ultimate-guitar.com/tab/hall-oates/sara-smile-chords	https://genius.com/Hall-oates-sara-smile-lyrics	
E	Satisfaction	134	The Rolling Stones	Rock	1960s	https://tabs.ultimate-guitar.com/tab/the-rolling-stones/satisfaction-chords	https://genius.com/The-rolling-stones-satisfaction-lyrics	
C?	Sex On Fire	150	Kings of Leon	Rock	2000s	https://tabs.ultimate-guitar.com/tab/kings-of-leon/sex-on-fire-chords	https://genius.com/Kings-of-leon-sex-on-fire-lyrics	
C?	SexyBack	120	Justin Timberlake	Pop/R&B	2000s	https://tabs.ultimate-guitar.com/tab/justin-timberlake/sexyback-chords	https://genius.com/Justin-timberlake-sexyback-lyrics	
G?	Shake It Off	160	Taylor Swift	Pop	2010s	https://tabs.ultimate-guitar.com/tab/taylor-swift/shake-it-off-chords	https://genius.com/Taylor-swift-shake-it-off-lyrics	
G?	Shallow	96	Lady Gaga & Bradley Cooper	Pop Rock	2010s	https://tabs.ultimate-guitar.com/tab/lady-gaga-bradley-cooper/shallow-chords	https://genius.com/Lady-gaga-bradley-cooper-shallow-lyrics	
E	Shape Of You	96	Ed Sheeran	Pop	2010s	https://tabs.ultimate-guitar.com/tab/ed-sheeran/shape-of-you-chords	https://genius.com/Ed-sheeran-shape-of-you-lyrics	
C#	Shut Up And Dance	128	Walk the Moon	Pop Rock	2010s	https://tabs.ultimate-guitar.com/tab/walk-the-moon/shut-up-and-dance-chords	https://genius.com/Walk-the-moon-shut-up-and-dance-lyrics	
F	Signed Sealed Delivered	120	Stevie Wonder	Soul/Funk	1970s	https://tabs.ultimate-guitar.com/tab/stevie-wonder/signed-sealed-delivered-chords	https://genius.com/Stevie-wonder-signed-sealed-delivered-lyrics	
C	Simple Man	130	Lynyrd Skynyrd	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/lynyrd-skynyrd/simple-man-chords	https://genius.com/Lynyrd-skynyrd-simple-man-lyrics	
C	Sister Christian	120	Night Ranger	Rock	1980s	https://tabs.ultimate-guitar.com/tab/night-ranger/sister-christian-chords	https://genius.com/Night-ranger-sister-christian-lyrics	
C	Slow Hands	86	Niall Horan	Pop	2010s	https://tabs.ultimate-guitar.com/tab/niall-horan/slow-hands-chords	https://genius.com/Niall-horan-slow-hands-lyrics	
E	Smile	122	Uncle Kracker	Rock/Pop	2000s	https://tabs.ultimate-guitar.com/tab/uncle-kracker/smile-chords	https://genius.com/Uncle-kracker-smile-lyrics	
E	Soul Man	120	Sam & Dave	Soul	1960s	https://tabs.ultimate-guitar.com/tab/sam-dave/soul-man-chords	https://genius.com/Sam-dave-soul-man-lyrics	
C	Southbound	126	The Allman Brothers Band	Southern Rock	1970s	https://tabs.ultimate-guitar.com/tab/the-allman-brothers-band/southbound-chords	https://genius.com/The-allman-brothers-band-southbound-lyrics	
D	Southern Cross	82	"Crosby, Stills & Nash"	Soft Rock	1980s	https://tabs.ultimate-guitar.com/tab/crosby-stills-nash/southern-cross-chords	https://genius.com/Crosby-stills-nash-southern-cross-lyrics	
Em	Spooky	120	Classics IV	Pop Rock	1960s	https://tabs.ultimate-guitar.com/tab/classics-iv/spooky-chords	https://genius.com/Classics-iv-spooky-lyrics	
E	Spoonful	120	Howlin' Wolf	Blues	1960s	https://tabs.ultimate-guitar.com/tab/howlin-wolf/spoonful-chords	https://genius.com/Howlin-wolf-spoonful-lyrics	
C	Splish Splash	126	Bobby Darin	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/bobby-darin/splish-splash-chords	https://genius.com/Bobby-darin-splish-splash-lyrics	
D	Stagger Lee	136	Lloyd Price	Rock and Roll	1950s	https://tabs.ultimate-guitar.com/tab/lloyd-price/stagger-lee-chords	https://genius.com/Lloyd-price-stagger-lee-lyrics	
Gm	Stand Back	116	Stevie Nicks	Rock/Pop	1980s	https://tabs.ultimate-guitar.com/tab/stevie-nicks/stand-back-chords	https://genius.com/Stevie-nicks-stand-back-lyrics	
G	Stand By Me	116	Ben E. King	Soul	1960s	https://tabs.ultimate-guitar.com/tab/ben-e-king/stand-by-me-chords	https://genius.com/Ben-e-king-stand-by-me-lyrics	
G	Stay Awhile	120	The Bells	Pop	1970s	https://tabs.ultimate-guitar.com/tab/the-bells/stay-awhile-chords	https://genius.com/The-bells-stay-awhile-lyrics	
C	Stay With Me	100	Sam Smith	Pop/Soul	2010s	https://tabs.ultimate-guitar.com/tab/sam-smith/stay-with-me-chords	https://genius.com/Sam-smith-stay-with-me-lyrics	
Em	Staying Alive	104	Bee Gees	Disco	1970s	https://tabs.ultimate-guitar.com/tab/bee-gees/staying-alive-chords	https://genius.com/Bee-gees-staying-alive-lyrics	
